ASIN,Date,User ID,MP,product_type,item_classification,brand,occasion,item_type_name,department,color,size,item_name,TRP 1,Comments,seller_data
B07YV6Y554,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Moyyo,"Business, Travel",,,12 Multicor,One Size,Moyyo Beauty Sunset Over Sunflowers Toiletry Bag Portable Wash Bag Travel Hanging Wash Bag Toiletry Bag Cosmetic Bag Portable Gym Camping Toiletry Bag for Women Mens Girls Kids,"Moyyo   Business, Travel  12 Multicor One Size ",,
B09Z31G1G4,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Adakieya,,Professional Extra Large Makeup Trolley on Wheels ,Unisex,Rose Gold,,Beauty Trolley on Wheels Professional Extra Large Makeup Trolley Lockable Beauty Case Make Up Box Beauty Cosmetics Storage Organizer with Removable Middle Layer - Rose Gold Diamond Surface,Adakieya Unisex Professional Extra Large Makeup Trolley on Wheels    Rose Gold  ,,
B07D73XHBF,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,DJUNXYAN,,Cotton Ball Pad Swabs ,,Acrylic Pad ,(Pack of 1),Cylinder Transparent Cotton Ball Pad Swabs Make Up Pads Dispenser Holder Organizer Container with lid 2 In 1 2 Layers Transparent Multifunction Acrylic Cosmetic Makeup Organizer,DJUNXYAN  Cotton Ball Pad Swabs    Acrylic Pad  (Pack of 1) ,,
B0B1GPXGLS,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Darbermu,"Business, Travel",Travel Accessory- Toiletry Kit,Unisex,"standardized_values:Blue, value:Blue",,"Travel Hanging Toiletry Wash Bag, Waterproof Wash Bag Makeup Cosmetic Organizer for Women Girls , Portable Large Capacity Make Up Bag for Travel, Business, Vacation, Household (Blue)","Darbermu Unisex Travel Accessory- Toiletry Kit Business, Travel  standardized_values:Blue, value:Blue  ",,
B09PD9ND8V,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Macallen,,,Womens,Purple,,Make Up Bag Toiletry Case: Makeup Organiser Travel Waterproof Cosmetic Brush Storage Set - Beauty Vanity Cases Portable Shower Wash Bags for Women - Bathroom Holographic Toiletries Pouch | Purple,Macallen Womens    Purple  ,,
B09N74Q9KD,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,CL&MH,,,,Beige,L,"Auntie Gifts Leather Makeup Bag -Auntie Gift from Niece Nephew - Inspirational Gifts for Auntie,Inspirational Makeup Bag Gift,Gift for Christmas,Birthday Gifts for Auntie",CL&MH     Beige L ,,
B082R6GNW9,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,AOMOM,,,,Clear/300ml,1 Count (Pack of 1),"Empty Spray Bottle -10oz/300ml Hair Spray Bottle Mist Sprayer Fine Mist Spray Bottle Ultra Fine Continuous Spray Water Bottle for Hair Styling, Plants, Cleaning, Misting & Skin Care",AOMOM     Clear/300ml 1 Count (Pack of 1) ,,
B09QCZM2TT,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,ZEFAN,,,,For Women,,"ZEFAN Best Birthday Gifts for Women,Mothers Day Gifts Unique Retirement Gifts A Wise Women Once Said Makeup Bag with Keychain for Coworker Friendship Her Nurse Teacher Wife Sister (for Women)",ZEFAN     For Women  ,,
B07C574Q1B,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,ericotry,,,,"standardized_values:White, value:White",2 Count (Pack of 1),2PCS 15ml/30ml/50ml Empty Refillable White Acrylic High-grade Airless Vacuum Pump Cream Lotion Foundation Bottle Dispenser Vial Travel Cream Lotion Toner Container Pot (15ML),"ericotry     standardized_values:White, value:White 2 Count (Pack of 1) ",,
B09ZYGS3H8,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Mikela,,,,"standardized_values:off-white, value:Off White",,Happy Retirement Gifts for Women Coworkers Retired Gift Makeup Bag Retirement Gift for Sisters Colleague Mom Aunt Grandmother Boss Friends Teachers Nurses Retirement Party Gifts Travel Cosmetic Pouch,"Mikela     standardized_values:off-white, value:Off White  ",,
B093651RNH,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,GreatforU,,,,"standardized_values:Blue, value:20pack 15g Blue",15g/15ml,"GreatforU 20pack 15ml Empty Sample Jars, Refillable Cosmetic Container, 15g Small Travel Size Round Pot Blue Screw Cap Lid for Makeup Eyeshadow Cream Bath Lotions Lip Gloss Balms, FREE Spatula +Label","GreatforU     standardized_values:Blue, value:20pack 15g Blue 15g/15ml ",,
B09VH3TYLF,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Adakieya,,,,"standardized_values:Pink, value:Pink",,"Vanity Case Large Makeup Bag Organiser 4 Trays, Makeup Organiser Box, Makeup Bag with Compartments, Makeup Organiser Bag, Travel Makeup Case Organiser, Luggage Cosmetic Cases, Large Size, Pink","Adakieya     standardized_values:Pink, value:Pink  ",,
B0978YNF1N,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,A-QMZL,"Business, Travel",,men women,"standardized_values:Blue, value:Navy Blue",L,Toiletry Bag for Women Large Travel Wash Bag Waterproof Cosmetic Bag Bathroom Gym Toiletries Makeup Organizer Dry Wet Separation Portable Shaving Bag with 3 Compartments,"A-QMZL men women  Business, Travel  standardized_values:Blue, value:Navy Blue L ",,
B09JGKJJNY,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,volila,,Cosmetic Organiser,,Grey - 2 Pack,,"Cosmetic Basket Desk Storage Organiser Cosmetic Storage Box For Bedroom Bathroom Living Room Office Perfect For Makeup Brushes, Cosmetics Bedside Storage and Office Stationery (Grey - 2 Pack)",volila  Cosmetic Organiser   Grey - 2 Pack  ,,
B09N74MP3R,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,CL&MH,,,,"standardized_values:Beige, value:Beige",,"Daughter Gifts Leather Makeup Bag -Daughter Gift from Mom Dad - Inspirational Gifts for Daughter Teen Girls Teenage Girls,Inspirational Makeup Bag Gift,Gift for Christmas Birthday","CL&MH     standardized_values:Beige, value:Beige  ",,
B01DAQ5JC4,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,IQTRAVELS,Travel,,mens,"standardized_values:Black, value:Black",1 Count (Pack of 1),Toiletry Bag (13 Inches) with 3 Detachable Pockets + Waterproof Multi-Use Bag - Travel Hanging Toiletry Bag for Men or Women - Best Large Hygiene Bag & Toiletries Storage,"IQTRAVELS mens  Travel  standardized_values:Black, value:Black 1 Count (Pack of 1) ",,
B096WNR4FL,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,tech LIVING,"Business, Travel",,,"standardized_values:Black, value:Black",small_,"Travel Toiletries Bag, Travel Hospital Essentials Set, Travel Wash Bag with Travel Toiletries bottles, Comb, Toothbrush, Compressed Towel and more for Business trip or Holiday (31 Pcs)","tech LIVING   Business, Travel  standardized_values:Black, value:Black small_ ",,
B09F73NKFJ,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,PAQcase,,Travel Accessory- Travel Container,unisex-adult,"standardized_values:White, value:White",Mini,"JPAQmini - Ultra-Compact & Versatile Preroll Holder w/ Upgraded Gasket Seal, Holds 5 Prerolls up to 98mm long, Crushproof, Pocket Perfect & Festival Friendly, White, Mini","PAQcase unisex-adult Travel Accessory- Travel Container   standardized_values:White, value:White Mini ",,
B0B4DKY8BM,2022-08-08,padazhar,UK,COSMETIC_CASE,base_product,Unaone,,,Womens,"standardized_values:Black, value:Black",,"Unaone 3 Pieces Toiletry Bag for Women and Men, Matte Translucent Makeup Bag Cosmetic Bag with Handy Handle, Water - Resistant Travel Makeup Organizer for Accessories (Black)","Unaone Womens    standardized_values:Black, value:Black  ",,
